,TypeName,make,ModelText,BodyColorText,BodyTypeText,Ccm,City,Co2EmissionText,ConditionTypeText,ConsumptionRatingText,ConsumptionTotalText,Doors,DriveTypeText,FirstRegMonth,FirstRegYear,FuelTypeText,Hp,InteriorColorText,Km,Properties,Seats,TransmissionTypeText
0,E 320 Elégance 4-Matic,MERCEDES-BENZ,E 320,anthrazit,Limousine,3199,Zuzwil,275 g/km,Occasion,null,11.5 l/100km,4,Allrad,1,1999,Benzin,224,grau,31900,"""Ab MFK""",5,Automat
1,Espada GT 400 Serie 3,LAMBORGHINI,null,anthrazit mét.,Coupé,3929,Zuzwil,null,Oldtimer,null,null,2,Hinterradantrieb,4,1973,Benzin,350,schwarz,48000,"""Ab MFK""",4,Schaltgetriebe
2,F360 Modena Berlinetta,FERRARI,F360,blau mét.,Coupé,3586,Zuzwil,440 g/km,Occasion,G,19.3 l/100km,2,Hinterradantrieb,2,2004,Benzin,400,beige,42600,"""Ab MFK""",2,Automatisiertes Schaltgetriebe
3,null,ALFA ROMEO,8C,silber mét.,Cabriolet,4691,Porrentruy,null,Occasion,null,null,2,Hinterradantrieb,4,2011,Benzin,450,schwarz,23900,"""Ab MFK""",0,Automatik-Getriebe
4,Turbo,BMW,2002,silber mét.,Limousine,1977,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,3,1974,Benzin,170,schwarz,97100,"""Ab MFK""",4,Schaltgetriebe
5,SPORTS 2000,DATSUN,null,silber mét.,Cabriolet,2000,Zuzwil,null,Occasion,null,null,2,null,7,1969,Benzin,143,schwarz,23300,"""Ab MFK""",2,null
6,A8 4.2 quattro,AUDI,A8,silber mét.,Limousine,4172,Zuzwil,322 g/km,Occasion,null,13.5 l/100km,4,Allrad,1,1997,Benzin,300,schwarz,66300,"""Ab MFK""",5,Automat
7,Gallardo 5.0 V10 Coupé SE,LAMBORGHINI,GALLARDO,silber mét.,Coupé,4961,Zuzwil,400 g/km,Occasion,G,17.0 l/100km,2,Allrad,1,2006,Benzin,520,schwarz,20000,"""Ab MFK""",2,Automatisiertes Schaltgetriebe
8,3.5 V8 Cabrio,MERCEDES-BENZ,280,silber mét.,Cabriolet,3499,Sursee,null,Occasion,null,null,2,null,2,1971,Benzin,200,beige,500,null,4,null
9,SL 320,MERCEDES-BENZ,SL 320,silber mét.,Cabriolet,3199,Zuzwil,297 g/km,Occasion,null,12.5 l/100km,2,Hinterradantrieb,7,1996,Benzin,231,schwarz,156800,"""Ab MFK""",2,Automat
10,Cayenne Turbo,PORSCHE,CAYENNE,silber mét.,SUV / Geländewagen,4511,Zuzwil,378 g/km,Occasion,G,15.7 l/100km,5,Allrad,4,2004,Benzin,450,schwarz,91600,"""Ab MFK""",5,Automat
11,745i,BMW,745,silber mét.,Limousine,4398,Zuzwil,276 g/km,Occasion,G,11.4 l/100km,4,Hinterradantrieb,12,2004,Benzin,333,schwarz,27600,"""Ab MFK""",5,Automat sequentiell
12,911 Carrera 2 RS,PORSCHE,911,silber mét.,Coupé,3598,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,1,1992,Benzin,260,schwarz,123000,"""Ab MFK""",2,Schaltgetriebe manuell
13,911 Carrera 4 Cabrio TECHART,PORSCHE,911,blau mét.,Cabriolet,3387,Zuzwil,304 g/km,Occasion,null,12.0 l/100km,2,Allrad,5,1999,Benzin,300,schwarz,80400,"""Ab MFK""",4,Automat
14,E 55 AMG Avantgarde,MERCEDES-BENZ,E 55 AMG,silber mét.,Limousine,5439,Zuzwil,310 g/km,Occasion,G,12.9 l/100km,4,Hinterradantrieb,11,2002,Benzin,476,schwarz,53800,"""Ab MFK""",5,Automat sequentiell
15,RS6 Avant quattro,AUDI,RS6,silber mét.,Kombi,4172,Zuzwil,350 g/km,Occasion,G,14.6 l/100km,5,Allrad,12,2002,Benzin,450,schwarz,47400,"""Ab MFK""",5,Automat sequentiell
16,Diablo 5.7 VT,LAMBORGHINI,DIABLO,silber mét.,Coupé,5707,Zuzwil,null,Occasion,null,null,2,Allrad,8,1993,Benzin,492,schwarz,14990,"""Ab MFK""",2,Schaltgetriebe manuell
17,300SL Roadster,MERCEDES-BENZ,null,silber mét.,Cabriolet,2995,Sursee,null,Occasion,null,null,2,null,3,1960,Benzin,215,braun,1000,null,2,null
18,Coupé,ALFA ROMEO,8C,silber mét.,Coupé,4691,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,3,2008,null,450,schwarz,37000,null,0,Automatik-Getriebe
19,ML 400 CDI,MERCEDES-BENZ,ML 400,silber mét.,SUV / Geländewagen,3996,Zuzwil,288 g/km,Occasion,G,10.9 l/100km,5,Allrad,11,2002,Diesel,250,schwarz,87800,"""Ab MFK""",5,Automat
20,Golf 2.0 TFSI GTI,VW,GOLF,silber mét.,Limousine,1984,Zuzwil,194 g/km,Occasion,G,8.1 l/100km,5,Vorderradantrieb,2,2007,Benzin,200,grau,87000,"""Ab MFK""",5,Schaltgetriebe manuell
21,Jetta 2.0 TDI Comfort,VW,JETTA,silber mét.,Limousine,1968,Zuzwil,154 g/km,Occasion,E,5.8 l/100km,4,Vorderradantrieb,3,2009,Diesel,140,grau,33500,"""Ab MFK""",5,Automatisiertes Schaltgetriebe
22,190 E 2.5-16 ABS,MERCEDES-BENZ,190,silber mét.,Limousine,2497,Zuzwil,null,Occasion,null,null,4,Hinterradantrieb,1,1989,Benzin,195,schwarz,198000,"""Ab MFK""",5,Automat
23,GT MF5,WIESMANN,COUPE,silber mét.,Coupé,4999,Zuzwil,null,Occasion,G,14.1 l/100km,2,Hinterradantrieb,7,2008,Benzin,507,schwarz,34600,"""Ab MFK""",2,Automatisiertes Schaltgetriebe
24,911 Turbo Cabrio,PORSCHE,911,blau mét.,Cabriolet,3800,Zuzwil,270 g/km,Occasion,G,11.5 l/100km,2,Allrad,12,2009,Benzin,500,mehrfarbig,52000,"""Ab MFK"", ""Direkt-/Parallelimport""",4,Automatisiertes Schaltgetriebe
25,Z4 M Coupé,BMW,Z4,silber mét.,Coupé,3246,Zuzwil,292 g/km,Vorführmodell,G,12.1 l/100km,2,Hinterradantrieb,8,2011,Benzin,343,schwarz,10900,"""Ab MFK"", ""Tuning""",2,Schaltgetriebe manuell
26,1300S,RENAULT,Alpine A110,silber mét.,Coupé,1296,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,9,1969,Benzin,0,schwarz,9999,"""Ab MFK""",0,Schaltgetriebe
27,Coupé GT,MASERATI,COUPÉ GT,silber mét.,Coupé,4244,Zuzwil,400 g/km,Occasion,null,17.5 l/100km,2,Hinterradantrieb,6,2002,Benzin,390,braun,62300,"""Ab MFK""",4,Automatik-Getriebe
28,1600 VF,RENAULT,ALPINE,silber mét.,Coupé,1605,Zuzwil,null,Oldtimer,null,null,2,Hinterradantrieb,8,1976,Benzin,140,schwarz,42940,"""Ab MFK""",4,Schaltgetriebe
29,A8 4.2 quattro,AUDI,A8,silber mét.,Limousine,4172,Zuzwil,288 g/km,Occasion,G,12.0 l/100km,4,Allrad,8,2002,Benzin,335,grau,35100,"""Ab MFK""",5,Automat sequentiell
30,Corvette Z06,CHEVROLET,CORVETTE,silber mét.,Coupé,7011,Zuzwil,350 g/km,Occasion,G,14.7 l/100km,2,Hinterradantrieb,3,2010,Benzin,512,schwarz,24000,"""Ab MFK""",2,Schaltgetriebe manuell
31,Corolla 1600 GTi TC16,TOYOTA,COROLLA,silber mét.,Coupé,1587,Zuzwil,null,Occasion,null,null,3,Hinterradantrieb,12,1986,Benzin,116,schwarz,101400,"""Ab MFK""",4,Schaltgetriebe manuell
32,CLK 55 AMG Avantgarde,MERCEDES-BENZ,CLK 55 AMG,silber mét.,Coupé,5439,Zuzwil,281 g/km,Occasion,G,11.7 l/100km,2,Hinterradantrieb,6,2000,Benzin,347,schwarz,79500,"""Ab MFK""",4,Automat
33,S7 Sportback 4.0 TFSI V8 quattro,AUDI,S7,silber mét.,Limousine,3993,Zuzwil,225 g/km,Occasion,G,9.6 l/100km,5,Allrad,3,2014,Benzin,420,schwarz,3600,"""Ab MFK"", ""Direkt-/Parallelimport""",4,Automatisiertes Schaltgetriebe
34,Arnage T,BENTLEY,ARNAGE,silber mét.,Limousine,6761,Basel,495 g/km,Occasion,G,20.6 l/100km,4,Hinterradantrieb,3,2006,Benzin,457,schwarz,15600,null,5,Automat
35,RS4 4.2 V8 quattro,AUDI,RS4,blau mét.,Limousine,4163,Zuzwil,324 g/km,Occasion,G,13.5 l/100km,4,Allrad,5,2006,Benzin,420,mehrfarbig,108200,"""Ab MFK""",5,Schaltgetriebe manuell
36,E 55 AMG Avantgarde,MERCEDES-BENZ,E 55 AMG,silber mét.,Limousine,5439,Zuzwil,310 g/km,Occasion,G,12.9 l/100km,4,Hinterradantrieb,10,2002,Benzin,476,schwarz,52400,"""Ab MFK""",5,Automat sequentiell
37,911 Turbo,PORSCHE,911,silber mét.,Coupé,3600,Zuzwil,309 g/km,Occasion,G,12.9 l/100km,2,Allrad,5,2001,Benzin,420,blau,60800,"""Ab MFK""",4,Schaltgetriebe manuell
38,645i,BMW,645,silber mét.,Coupé,4398,Zuzwil,283 g/km,Occasion,null,11.7 l/100km,2,Hinterradantrieb,1,2004,Benzin,333,schwarz,79100,"""Ab MFK""",4,Automatik-Getriebe
39,911 GT3,PORSCHE,911,silber mét.,Coupé,3600,Zuzwil,320 g/km,Occasion,null,12.9 l/100km,2,Hinterradantrieb,1,2000,Benzin,360,schwarz,77000,"""Ab MFK""",4,Schaltgetriebe manuell
40,E 420 Avantgarde,MERCEDES-BENZ,E 420,silber mét.,Limousine,4196,Zuzwil,326 g/km,Occasion,null,14.3 l/100km,4,Hinterradantrieb,11,1996,Benzin,279,schwarz,87800,"""Ab MFK""",5,Automat
41,911 Carrera 4 S,PORSCHE,911,silber mét.,Coupé,3596,Zuzwil,277 g/km,Occasion,G,11.4 l/100km,2,Allrad,3,2002,Benzin,320,blau,68100,"""Ab MFK""",4,Schaltgetriebe manuell
42,DB9 Volante,ASTON MARTIN,DB9,silber mét.,Cabriolet,5935,Zuzwil,333 g/km,Occasion,G,14.3 l/100km,2,Hinterradantrieb,5,2013,Benzin,518,schwarz,17000,"""Ab MFK""",4,Automat sequentiell
43,Sprint,TRIUMPH,Dolomite,silber mét.,Limousine,1997,Zuzwil,null,Occasion,null,null,4,Hinterradantrieb,7,1977,Benzin,128,schwarz,12800,"""Ab MFK""",5,Schaltgetriebe manuell
44,SL 500,MERCEDES-BENZ,SL 500,silber mét.,Cabriolet,4973,Zuzwil,340 g/km,Occasion,null,14.3 l/100km,2,Hinterradantrieb,6,1996,Benzin,320,beige,74400,"""Ab MFK""",0,Automat
45,M6,BMW,M6,silber mét.,Cabriolet,4999,Zuzwil,366 g/km,Occasion,G,15.2 l/100km,2,Hinterradantrieb,2,2007,Benzin,507,weiss,32000,"""Ab MFK""",4,Automatisiertes Schaltgetriebe
46,RS4 Avant quattro,AUDI,RS4,blau mét.,Kombi,2671,Zuzwil,288 g/km,Occasion,G,12.0 l/100km,5,Allrad,7,2001,Benzin,380,schwarz,57500,"""Ab MFK""",5,Schaltgetriebe manuell
