,TypeName,make,ModelText,BodyTypeText,Ccm,City,Co2EmissionText,ConditionTypeText,ConsumptionRatingText,ConsumptionTotalText,Doors,DriveTypeText,FirstRegMonth,FirstRegYear,FuelTypeText,Hp,InteriorColorText,Km,Properties,Seats,TransmissionTypeText,color,extracted-value-ConsumptionTotalText,extracted-unit-ConsumptionTotalText
0,E 320 Elégance 4-Matic,Mercedes-Benz,E 320,Limousine,3199,Zuzwil,275 g/km,Occasion,null,11.5 l/100km,4,Allrad,1,1999,Benzin,224,grau,31900,Ab MFK,5,Automat,Anthracite,11.5,l/100km
1,Espada GT 400 Serie 3,Lamborghini,null,Coupé,3929,Zuzwil,null,Oldtimer,null,null,2,Hinterradantrieb,4,1973,Benzin,350,schwarz,48000,Ab MFK,4,Schaltgetriebe,Anthracite,null,
2,F360 Modena Berlinetta,Ferrari,F360,Coupé,3586,Zuzwil,440 g/km,Occasion,G,19.3 l/100km,2,Hinterradantrieb,2,2004,Benzin,400,beige,42600,Ab MFK,2,Automatisiertes Schaltgetriebe,Blue,19.3,l/100km
3,null,Alfa Romeo,8C,Cabriolet,4691,Porrentruy,null,Occasion,null,null,2,Hinterradantrieb,4,2011,Benzin,450,schwarz,23900,Ab MFK,0,Automatik-Getriebe,Silver,null,
4,Turbo,BMW,2002,Limousine,1977,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,3,1974,Benzin,170,schwarz,97100,Ab MFK,4,Schaltgetriebe,Silver,null,
5,SPORTS 2000,Datsun,null,Cabriolet,2000,Zuzwil,null,Occasion,null,null,2,null,7,1969,Benzin,143,schwarz,23300,Ab MFK,2,null,Silver,null,
6,A8 4.2 quattro,Audi,A8,Limousine,4172,Zuzwil,322 g/km,Occasion,null,13.5 l/100km,4,Allrad,1,1997,Benzin,300,schwarz,66300,Ab MFK,5,Automat,Silver,13.5,l/100km
7,Gallardo 5.0 V10 Coupé SE,Lamborghini,GALLARDO,Coupé,4961,Zuzwil,400 g/km,Occasion,G,17.0 l/100km,2,Allrad,1,2006,Benzin,520,schwarz,20000,Ab MFK,2,Automatisiertes Schaltgetriebe,Silver,17.0,l/100km
8,3.5 V8 Cabrio,Mercedes-Benz,280,Cabriolet,3499,Sursee,null,Occasion,null,null,2,null,2,1971,Benzin,200,beige,500,null,4,null,Silver,null,
9,SL 320,Mercedes-Benz,SL 320,Cabriolet,3199,Zuzwil,297 g/km,Occasion,null,12.5 l/100km,2,Hinterradantrieb,7,1996,Benzin,231,schwarz,156800,Ab MFK,2,Automat,Silver,12.5,l/100km
10,Cayenne Turbo,Porsche,CAYENNE,SUV / Geländewagen,4511,Zuzwil,378 g/km,Occasion,G,15.7 l/100km,5,Allrad,4,2004,Benzin,450,schwarz,91600,Ab MFK,5,Automat,Silver,15.7,l/100km
11,745i,BMW,745,Limousine,4398,Zuzwil,276 g/km,Occasion,G,11.4 l/100km,4,Hinterradantrieb,12,2004,Benzin,333,schwarz,27600,Ab MFK,5,Automat sequentiell,Silver,11.4,l/100km
12,911 Carrera 2 RS,Porsche,911,Coupé,3598,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,1,1992,Benzin,260,schwarz,123000,Ab MFK,2,Schaltgetriebe manuell,Silver,null,
13,911 Carrera 4 Cabrio TECHART,Porsche,911,Cabriolet,3387,Zuzwil,304 g/km,Occasion,null,12.0 l/100km,2,Allrad,5,1999,Benzin,300,schwarz,80400,Ab MFK,4,Automat,Blue,12.0,l/100km
14,E 55 AMG Avantgarde,Mercedes-Benz,E 55 AMG,Limousine,5439,Zuzwil,310 g/km,Occasion,G,12.9 l/100km,4,Hinterradantrieb,11,2002,Benzin,476,schwarz,53800,Ab MFK,5,Automat sequentiell,Silver,12.9,l/100km
15,RS6 Avant quattro,Audi,RS6,Kombi,4172,Zuzwil,350 g/km,Occasion,G,14.6 l/100km,5,Allrad,12,2002,Benzin,450,schwarz,47400,Ab MFK,5,Automat sequentiell,Silver,14.6,l/100km
