,carType,color,condition,currency,drive,city,country,make,manufacture_year,mileage,milage_unit,model,model_variant,price_on_request,type,zip,manufacture_month,fuel_consumption_unit
0,Limousine,Anthracite,Occasion,,,Zuzwil,,Mercedes-Benz,1999,0.0,,E 320,E 320 Elégance 4-Matic,False,car,,1,l_km_consumption
1,Coupé,Anthracite,Restored,,,Zuzwil,,Lamborghini,1973,0.0,,null,Espada GT 400 Serie 3,False,car,,4,
2,Coupé,Blue,Occasion,,,Zuzwil,,Ferrari,2004,0.0,,F360,F360 Modena Berlinetta,False,car,,2,l_km_consumption
3,Cabriolet,Silver,Occasion,,,Porrentruy,,Alfa Romeo,2011,0.0,,8C,null,False,car,,4,
4,Limousine,Silver,Occasion,,,Zuzwil,,BMW,1974,0.0,,2002,Turbo,False,car,,3,
5,Cabriolet,Silver,Occasion,,,Zuzwil,,Datsun,1969,0.0,,null,SPORTS 2000,False,car,,7,
6,Limousine,Silver,Occasion,,,Zuzwil,,Audi,1997,0.0,,A8,A8 4.2 quattro,False,car,,1,l_km_consumption
7,Coupé,Silver,Occasion,,,Zuzwil,,Lamborghini,2006,0.0,,GALLARDO,Gallardo 5.0 V10 Coupé SE,False,car,,1,l_km_consumption
8,Cabriolet,Silver,Occasion,,,Sursee,,Mercedes-Benz,1971,0.0,,280,3.5 V8 Cabrio,False,car,,2,
9,Cabriolet,Silver,Occasion,,,Zuzwil,,Mercedes-Benz,1996,0.0,,SL 320,SL 320,False,car,,7,l_km_consumption
10,SUV,Silver,Occasion,,,Zuzwil,,Porsche,2004,0.0,,CAYENNE,Cayenne Turbo,False,car,,4,l_km_consumption
11,Limousine,Silver,Occasion,,,Zuzwil,,BMW,2004,0.0,,745,745i,False,car,,12,l_km_consumption
12,Coupé,Silver,Occasion,,,Zuzwil,,Porsche,1992,0.0,,911,911 Carrera 2 RS,False,car,,1,
13,Cabriolet,Blue,Occasion,,,Zuzwil,,Porsche,1999,0.0,,911,911 Carrera 4 Cabrio TECHART,False,car,,5,l_km_consumption
14,Limousine,Silver,Occasion,,,Zuzwil,,Mercedes-Benz,2002,0.0,,E 55 AMG,E 55 AMG Avantgarde,False,car,,11,l_km_consumption
15,Station Wagon,Silver,Occasion,,,Zuzwil,,Audi,2002,0.0,,RS6,RS6 Avant quattro,False,car,,12,l_km_consumption
16,Coupé,Silver,Occasion,,,Zuzwil,,Lamborghini,1993,0.0,,DIABLO,Diablo 5.7 VT,False,car,,8,
17,Cabriolet,Silver,Occasion,,,Sursee,,Mercedes-Benz,1960,0.0,,null,300SL Roadster,False,car,,3,
18,Coupé,Silver,Occasion,,,Zuzwil,,Alfa Romeo,2008,0.0,,8C,Coupé,False,car,,3,
19,SUV,Silver,Occasion,,,Zuzwil,,Mercedes-Benz,2002,0.0,,ML 400,ML 400 CDI,False,car,,11,l_km_consumption
20,Limousine,Silver,Occasion,,,Zuzwil,,VW,2007,0.0,,GOLF,Golf 2.0 TFSI GTI,False,car,,2,l_km_consumption
21,Limousine,Silver,Occasion,,,Zuzwil,,VW,2009,0.0,,JETTA,Jetta 2.0 TDI Comfort,False,car,,3,l_km_consumption
22,Limousine,Silver,Occasion,,,Zuzwil,,Mercedes-Benz,1989,0.0,,190,190 E 2.5-16 ABS,False,car,,1,
23,Coupé,Silver,Occasion,,,Zuzwil,,Wiesmann,2008,0.0,,COUPE,GT MF5,False,car,,7,l_km_consumption
24,Cabriolet,Blue,Occasion,,,Zuzwil,,Porsche,2009,0.0,,911,911 Turbo Cabrio,False,car,,12,l_km_consumption
25,Coupé,Silver,Demonstration,,,Zuzwil,,BMW,2011,0.0,,Z4,Z4 M Coupé,False,car,,8,l_km_consumption
26,Coupé,Silver,Occasion,,,Zuzwil,,Renault,1969,0.0,,Alpine A110,1300S,False,car,,9,
27,Coupé,Silver,Occasion,,,Zuzwil,,Maserati,2002,0.0,,COUPÉ GT,Coupé GT,False,car,,6,l_km_consumption
28,Coupé,Silver,Restored,,,Zuzwil,,Renault,1976,0.0,,ALPINE,1600 VF,False,car,,8,
29,Limousine,Silver,Occasion,,,Zuzwil,,Audi,2002,0.0,,A8,A8 4.2 quattro,False,car,,8,l_km_consumption
30,Coupé,Silver,Occasion,,,Zuzwil,,Chevrolet,2010,0.0,,CORVETTE,Corvette Z06,False,car,,3,l_km_consumption
31,Coupé,Silver,Occasion,,,Zuzwil,,Toyota,1986,0.0,,COROLLA,Corolla 1600 GTi TC16,False,car,,12,
